ticker,date,Return_1D,Open,High,Low,Close,Volume,MA_5,MA_21,MA_126,MA_252,Volatility_21,sentiment_mean,sentiment_median,sentiment_std,sentiment_min,sentiment_max,article_count,unique_sources,truncated_articles,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,truncated_ratio,target_direction
GOOGL,2026-04-10,-0.0039247701288198,320.0199890136719,321.8299865722656,316.32000732421875,317.239990234375,19152600,311.6999938964844,299.5019037155878,302.3740761166527,246.7113691662985,0.0227280364685808,0.39677777777777773,0.5719,0.4470653609310885,-0.6344,0.7964,9,8,9,7,1,1,0.7777777777777778,0.1111111111111111,0.1111111111111111,1.0,0
GOOGL,2026-04-13,0.0128294270883435,317.1400146484375,321.6300048828125,315.4700012207031,321.3099975585937,18866400,315.9639953613281,300.3476184663318,303.0098513648624,247.35878341917007,0.0224553878902136,0.5227625,0.61725,0.2925825252935364,0.0,0.8316,8,7,8,7,1,0,0.875,0.125,0.0,1.0,1
GOOGL,2026-04-14,0.0361022258618026,324.7900085449219,333.2900085449219,323.75,332.9100036621094,27721400,321.4539978027344,301.8061901274182,303.7770017593626,248.0755218021453,0.0235114553735102,0.012066666666666675,-0.13085,0.5362079046132171,-0.8074,0.875,12,11,12,5,1,6,0.4166666666666667,0.08333333333333333,0.5,1.0,1
GOOGL,2026-04-15,0.0126460346903576,332.8900146484375,337.4800109863281,330.8999938964844,337.1199951171875,24918800,325.41399536132815,303.30904715401783,304.5174876621791,248.7918828933958,0.0235375428042704,0.06208,0.0,0.41200884510462205,-0.7783,0.6369,10,8,10,4,4,2,0.4,0.4,0.2,1.0,1
GOOGL,2026-04-16,-0.0032629512323445,338.75,339.8800048828125,334.5199890136719,336.0199890136719,19832139,328.9199951171875,304.50428408668154,305.2389399210612,249.49624658009364,0.0234187735180567,0.2876375,0.22025,0.33398730889062234,-0.1779,0.9049,16,12,16,10,5,1,0.625,0.3125,0.0625,1.0,0
META,2026-03-30,0.0202770196563586,536.3800048828125,539.5499877929688,528.5399780273438,536.3800048828125,22795200,559.489990234375,616.7675287155878,655.8779747372582,666.8182806590247,0.024694383174736,0.13934000000000002,0.21315,0.5026276625008925,-0.6983,0.7717,10,9,10,6,1,3,0.6,0.1,0.3,1.0,1
META,2026-03-31,0.0666505083607853,549.97998046875,573.6900024414062,546.77001953125,572.1300048828125,32898300,555.3319946289063,612.9165329706101,654.5285397484189,666.8071049281529,0.0295087939814743,0.01643058823529411,0.0,0.4970510755166606,-0.8885,0.7906,85,59,85,39,16,30,0.4588235294117647,0.18823529411764706,0.35294117647058826,1.0,1
META,2026-04-16,0.0078769139830376,675.989990234375,677.5050048828125,667.75,676.8699951171875,8876437,655.0660034179688,600.3609502883185,646.052497984871,670.0617147778707,0.0325639069004435,0.10740294117647059,0.20805,0.4948187458082086,-0.8126,0.7964,34,30,34,18,3,13,0.5294117647058824,0.08823529411764706,0.38235294117647056,1.0,1
MSFT,2026-03-31,0.0312291682625001,364.5499877929688,372.8999938964844,363.0700073242188,370.1700134277344,45244400,364.5820007324219,389.8533325195313,460.1016467866443,464.52139645531065,0.0141264720980482,0.009009183673469385,0.0,0.4742604191501992,-0.93,0.9287,98,63,98,45,19,34,0.45918367346938777,0.19387755102040816,0.3469387755102041,1.0,1
NVDA,2026-03-31,0.0558817934846622,166.97000122070312,174.6199951171875,166.9600067138672,174.39999389648438,226181300,171.4019989013672,178.3662327357701,184.8338315449064,167.32373031737313,0.0228965753470146,0.14996868686868686,0.25,0.4419271319209197,-0.93,0.8576,99,54,97,56,19,24,0.5656565656565656,0.1919191919191919,0.24242424242424243,0.9797979797979798,1
